,County,Worship,Convention,Cruise,Sports,Parks,wratio,c1ratio,c2ratio,spratio,parkratio,Score,Rating
17,LA PAZ,0,0,0,0,1,0.0,0.0,0.0,0.0,0.00019786307874950534,6.595435958316844e-05,1
18,LAKE,58,8,0,0,114,0.0019783743220656955,0.016129032258064516,0.0,0.0,0.022556390977443608,0.012215547125711546,7
19,LASSEN,22,7,0,0,23,0.0007504178463007812,0.014112903225806451,0.0,0.0,0.004550850811238623,0.005430474699888084,4
20,LOS ANGELES,8883,38,3,16,598,0.30299826039499267,0.07661290322580645,0.6,0.22857142857142856,0.11832212109220419,0.19094665711280548,10
21,MADERA,113,4,0,0,21,0.0038544189378176483,0.008064516129032258,0.0,0.0,0.004155124653739612,0.004306462973218669,3
22,MARIN,185,2,0,0,14,0.006310331889347477,0.004032258064516129,0.0,0.0,0.002770083102493075,0.003260696229238155,2
23,MARIPOSA,22,8,0,0,15,0.0007504178463007812,0.016129032258064516,0.0,0.0,0.00296794618124258,0.005440474231824888,4
24,MENDOCINO,65,13,0,0,80,0.0022171436367977625,0.02620967741935484,0.0,0.0,0.015829046299960427,0.012709024805840985,7
25,MERCED,163,12,0,0,38,0.005559914043046696,0.024193548387096774,0.0,0.0,0.007518796992481203,0.010069861375995547,6
26,MODOC,7,5,0,0,9,0.00023876931473206672,0.010080645161290322,0.0,0.0,0.001780767708745548,0.003329515142205682,2
27,MONCLOVA,0,0,0,1,0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0019047619047619048,1
28,MONO,8,0,0,0,29,0.00027287921683664766,0.0,0.0,0.0,0.005738029283735655,0.0019672522712792144,2
29,MONTEREY,222,14,0,2,76,0.007572398267216973,0.028225806451612902,0.0,0.02857142857142857,0.015037593984962405,0.017863416511718116,8
30,NAPA,74,5,0,1,42,0.002524132755738991,0.010080645161290322,0.0,0.014285714285714285,0.008310249307479225,0.007867843601413531,5
31,NEVADA,81,6,0,0,34,0.0027629020704710576,0.012096774193548387,0.0,0.0,0.006727344677483181,0.006020835091534841,4
32,ORANGE,2589,10,0,5,214,0.0883105365487601,0.020161290322580645,0.0,0.07142857142857142,0.042342698852394146,0.04667649387038109,10
33,PLACER,248,14,0,0,54,0.008459255721936077,0.028225806451612902,0.0,0.0,0.010684606252473288,0.012780268282308417,7
34,PLUMAS,23,5,0,0,72,0.0007845277484053621,0.010080645161290322,0.0,0.0,0.014246141669964385,0.007593791482679953,5
35,RIVERSIDE,1579,19,0,3,395,0.053859535423133334,0.038306451612903226,0.0,0.04285714285714286,0.07815591610605462,0.05275321859770478,10
36,SACRAMENTO,1181,11,0,3,118,0.040283794385510115,0.02217741935483871,0.0,0.04285714285714286,0.02334784329244163,0.027467637516825277,9
37,SALTILLO,0,0,0,1,0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0019047619047619048,1
38,SAN BENITO,33,6,0,0,11,0.0011256267694511716,0.012096774193548387,0.0,0.0,0.0021764938662445586,0.00417642976091799,3
39,SAN BERNARDINO,1584,12,0,1,378,0.05403008493365624,0.024193548387096774,0.0,0.014285714285714285,0.07479224376731301,0.044093139717156636,10
40,SAN DIEGO,2123,14,1,6,394,0.07241532216802538,0.028225806451612902,0.2,0.08571428571428572,0.0779580530273051,0.07275786859170831,10
41,SAN FRANCISCO,618,5,1,4,1,0.021079919500631032,0.010080645161290322,0.2,0.05714285714285714,0.00019786307874950534,0.02792249125510108,9
42,SAN JOAQUIN,511,12,0,1,110,0.01743015997544087,0.024193548387096774,0.0,0.014285714285714285,0.02176493866244559,0.019097386357224414,9
43,SAN LUIS OBISPO,213,9,0,1,112,0.0072654091482757446,0.018145161290322582,0.0,0.014285714285714285,0.0221606648199446,0.015583441685151274,8
44,SAN MATEO,444,9,0,0,24,0.015144796534433945,0.018145161290322582,0.0,0.0,0.004748713889988128,0.009450573614302188,6
45,SANTA BARBARA,350,10,0,1,68,0.011938465736603336,0.020161290322580645,0.0,0.014285714285714285,0.013454689354966362,0.014153695589759532,7
46,SANTA CLARA,1216,10,0,9,111,0.04147764095917045,0.020161290322580645,0.0,0.12857142857142856,0.021962801741195092,0.03813566333444443,10
47,SANTA CRUZ,197,7,0,0,87,0.006719650714602449,0.014112903225806451,0.0,0.0,0.017214087851206965,0.010845400286871199,6
48,SHASTA,171,16,0,0,111,0.005832793259883344,0.03225806451612903,0.0,0.0,0.021962801741195092,0.017089643103342773,8
49,SIERRA,5,0,0,0,4,0.0001705495105229048,0.0,0.0,0.0,0.0007914523149980214,0.00029792734043725474,1
50,SISKIYOU,67,7,0,0,52,0.0022853634410069244,0.014112903225806451,0.0,0.0,0.010288880094974277,0.0076501402467411975,5
51,SOLANO,322,6,0,0,44,0.01098338847767507,0.012096774193548387,0.0,0.0,0.008705975464978234,0.008324475968807329,5
52,SONOMA,304,18,0,1,116,0.010369410239792612,0.036290322580645164,0.0,0.014285714285714285,0.02295211713494262,0.02130676901920668,9
53,STANISLAUS,386,6,0,0,105,0.01316642221236825,0.012096774193548387,0.0,0.0,0.02077562326869806,0.01278429865031924,7
54,SUTTER,59,6,0,0,24,0.0020124842241702767,0.012096774193548387,0.0,0.0,0.004748713889988128,0.005211207926443001,4
55,TEHAMA,49,10,0,0,45,0.001671385203124467,0.020161290322580645,0.0,0.0,0.00890383854372774,0.00867856730788898,5
56,TORREON,0,0,0,1,0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0019047619047619048,1
57,TRINITY,13,3,0,0,31,0.00044342872735955247,0.006048387096774193,0.0,0.0,0.006133755441234665,0.003746174118356584,2
58,TULARE,320,13,0,0,87,0.010915168673465907,0.02620967741935484,0.0,0.0,0.017214087851206965,0.014910310330256794,8
59,TUOLUMNE,53,5,0,0,39,0.0018078248115427908,0.010080645161290322,0.0,0.0,0.007716660071230708,0.005621957029062879,4
60,VENTURA,514,11,0,0,98,0.017532489681754613,0.02217741935483871,0.0,0.0,0.019390581717451522,0.015884003670125088,8
61,YOLO,116,6,0,2,41,0.003956748644131391,0.012096774193548387,0.0,0.02857142857142857,0.008112386228729718,0.010530808732872897,6
62,YUBA,49,0,0,0,29,0.001671385203124467,0.0,0.0,0.0,0.005738029283735655,0.0022469534685367787,2
